E-id,Archival_Culture_Name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Notes
536,BRI URBBAR,4,2,1,5,4,16,13,14,3,5,6,1,
537,BRI URBBAR,4,2,2,5,4,16,13,14,3,1,12,1,
538,BRI URBBAR,4,2,2,5,4,16,13,14,3,1,7,3,
539,BRI URBBAR,4,1,1,5,4,16,13,14,0,1,5,5,
400,BUKA,1,2,5,1,1,11,0,0,4,0,1,1,
401,BUKA,1,2,1,5,1,8,0,0,4,0,1,1,
402,BUKA,1,2,1,5,1,3,0,0,4,0,2,1,
403,BUKA,1,1,1,5,3,8,10,11,3,0,3,1,
404,BUKA,1,2,2,4,2,3,8,0,0,0,2,2,
405,BUKA,1,2,2,4,2,10,11,0,3,5,5,2,
406,BUKA,1,1,2,3,2,3,8,10,3,5,1,1,
407,BUKA,1,2,2,5,1,11,0,0,4,0,1,1,
408,BUKA,1,2,3,3,1,10,0,0,2,6,13,1,
409,BUKA,1,2,1,5,1,1,10,3,3,1,5,2,
410,BUKA,1,1,1,5,3,1,10,3,3,1,2,1,
411,BUKA,1,2,1,5,1,3,0,0,4,0,1,1,
755,BULGARIA,1,2,1,5,2,10,11,0,4,0,3,1,
756,BULGARIA,1,1,1,0,2,16,13,0,2,2,2,2,
757,BULGARIA,1,1,1,0,2,10,11,0,0,1,2,2,
758,BULGARIA,1,1,1,1,2,10,11,0,4,0,2,1,
760,BULGARIA,1,1,1,0,1,10,0,0,0,1,2,2,
761,BULGARIA,4,2,2,0,2,16,10,0,3,1,9,4,
762,BULGARIA,1,1,1,4,3,10,11,16,2,3,3,2,
692,C RUSSIA,4,1,0,0,3,10,11,16,0,1,4,4,
693,C RUSSIA,1,1,2,0,3,16,11,10,2,6,1,1,
694,C RUSSIA,5,3,1,5,3,16,10,11,0,1,1,1,
695,C RUSSIA,5,3,3,3,2,0,16,0,2,2,1,1,
696,C RUSSIA,1,2,2,0,3,16,10,11,0,1,2,2,
697,C RUSSIA,4,1,3,0,3,16,10,11,2,6,2,2,
174,CAMAYURA,1,4,1,5,2,1,10,0,0,0,2,1,
175,CAMAYURA,1,1,1,5,2,11,1,0,2,4,3,1,
167,CARIBOUESK,1,1,1,0,1,10,0,0,1,6,1,1,
168,CARIBOUESK,1,1,1,5,2,10,1,0,1,4,5,1,
646,CARRIACOU,1,1,1,5,2,10,11,0,0,1,4,4,
648,CARRIACOU,1,1,2,5,2,1,10,0,0,5,13,2,
449,CASTILE,1,1,2,4,2,10,16,0,2,2,3,2,
450,CASTILE,1,1,1,5,1,12,0,0,1,2,3,3,
451,CASTILE,1,2,1,5,2,4,16,0,2,2,4,1,
452,CASTILE,1,2,1,5,1,10,0,0,4,0,2,2,
453,CASTILE,1,1,1,5,1,10,0,0,2,2,1,1,
454,CASTILE,6,2,1,5,1,16,0,0,2,2,1,1,
455,CASTILE,1,1,1,5,1,16,0,0,2,2,1,1,
456,CASTILE,1,1,2,5,1,12,0,0,1,6,4,4,
457,CASTILE,1,2,1,5,1,11,0,0,1,4,14,2,
121,CAYAPA,1,2,0,0,1,5,0,0,0,0,5,2,
801,CAYAPA,1,1,0,0,2,10,11,0,0,0,8,3,
361,CHAGGA,1,1,1,5,2,8,9,0,4,0,7,2,
362,CHAGGA,1,2,6,1,2,12,11,0,0,1,8,2,
363,CHAGGA,4,1,6,5,3,12,11,15,0,1,6,1,
742,CHAGGA,1,1,2,0,1,14,0,0,1,5,1,1,
155,CHEREMIS,1,3,5,0,1,4,0,0,4,0,1,1,
156,CHEREMIS,1,1,0,0,2,5,10,0,3,0,1,1,
157,CHEREMIS,0,2,0,0,0,0,0,0,2,5,2,2,
99,CHEYENNE,1,4,1,0,1,2,0,0,1,2,1,1,
100,CHEYENNE,1,4,1,5,1,1,0,0,1,1,1,1,
101,CHEYENNE,1,2,1,5,1,4,0,0,4,0,1,1,
102,CHEYENNE,1,1,1,0,2,15,16,0,4,0,1,1,
103,CHEYENNE,1,1,2,4,2,10,11,0,2,6,6,2,
296,CHOPI,1,1,1,5,3,10,16,14,3,6,6,1,
297,CHOPI,1,2,6,0,3,10,0,0,0,1,12,5,
298,CHOPI,1,2,6,3,3,15,0,0,0,1,3,1,
299,CHOPI,1,2,6,0,3,12,10,11,0,1,13,3,
300,CHOPI,1,1,2,4,2,4,11,0,1,2,1,1,
738,CHOPI,1,1,1,5,3,10,16,14,2,6,14,1,
422,CHUKCHEE,1,1,1,5,3,2,1,16,2,2,1,1,
423,CHUKCHEE,5,2,1,5,1,16,0,0,4,0,1,1,
122,CREE,4,1,2,0,2,10,11,0,1,6,1,1,
123,CREE,1,3,5,1,1,1,0,0,1,2,1,1,
124,CREE,1,4,1,5,1,1,0,0,1,5,4,1,
125,CREE,1,4,1,5,1,1,0,0,1,6,13,4,
126,CREE,1,4,3,0,1,2,0,0,1,4,1,1,
127,CREE,1,4,1,0,1,1,0,0,2,5,1,1,
512,CUNA,1,1,2,3,1,16,0,0,1,6,4,2,
513,CUNA,1,1,1,5,2,1,10,0,4,0,2,1,
514,CUNA,1,2,1,5,2,1,10,0,3,2,6,1,
515,CUNA,1,1,1,5,1,5,0,0,2,3,7,1,
516,CUNA,1,2,1,5,1,16,0,0,0,0,1,1,
517,CUNA,1,2,1,5,1,8,0,0,0,0,1,1,
518,CUNA,1,2,1,5,1,16,0,0,0,0,1,1,
519,CUNA,1,2,1,5,1,16,0,0,0,0,1,1,
520,CUNA,2,4,1,5,0,0,0,0,0,0,1,1,
521,CUNA,1,1,1,5,1,12,0,0,1,6,1,1,
522,CUNA,1,2,2,3,2,10,16,0,2,6,1,1,
589,DINKA,1,1,3,3,2,10,11,0,1,5,16,1,
590,DINKA,1,1,5,1,1,7,0,0,2,6,5,1,
591,DINKA,1,1,1,5,2,10,11,0,2,5,2,1,
269,DOGON,1,2,1,5,2,12,1,0,3,6,6,2,
270,DOGON,1,2,1,5,1,2,0,0,0,0,1,1,
271,DOGON,1,1,6,5,2,3,10,0,2,6,8,3,
272,DOGON,1,2,1,5,2,6,8,0,4,0,1,1,
273,DOGON,1,2,2,0,1,6,0,0,3,6,14,7,
274,DOGON,1,2,1,5,2,6,8,0,0,0,7,3,
133,DUSUN,1,2,0,2,2,1,10,0,0,1,7,2,
134,DUSUN,1,2,1,5,2,15,16,0,0,0,1,1,
135,DUSUN,1,4,5,1,1,2,0,0,3,0,1,1,
136,DUSUN,1,4,5,1,1,1,0,0,2,2,1,1,
137,DUSUN,1,2,1,4,2,15,16,0,0,0,1,1,
138,DUSUN,1,4,5,2,1,12,0,0,0,0,12,2,
139,DUSUN,1,2,2,4,2,15,16,0,3,1,6,4,
383,EGYPT,0,0,1,5,3,5,11,14,2,5,7,3,
384,EGYPT,1,1,2,5,1,1,10,0,0,1,3,3,
224,EGYPTANCT,8,1,7,3,3,12,7,1,3,6,4,1,
225,EGYPTANCT,7,2,5,1,1,1,0,0,0,1,12,1,
226,EGYPTANCT,0,0,5,1,1,10,0,0,0,1,2,2,
227,EGYPTANCT,8,2,3,3,0,0,0,0,0,1,6,3,
228,EGYPTANCT,8,0,1,5,0,0,0,0,3,2,5,3,
229,EGYPTANCT,8,2,1,0,0,0,0,0,2,2,2,1,
230,EGYPTANCT,8,0,0,0,1,10,0,0,3,2,6,2,
283,EKONDA,1,1,3,0,3,10,11,15,1,6,3,2,
284,EKONDA,1,1,1,5,4,15,11,10,1,6,4,3,
217,FIJI,1,2,1,5,1,8,0,0,4,0,3,11,
218,FIJI,1,2,1,5,1,8,0,0,0,1,2,1,
93,FLATHEAD,1,2,0,0,1,1,0,0,1,4,6,1,
94,FLATHEAD,1,2,1,0,2,10,9,0,2,5,1,1,
95,FLATHEAD,1,2,1,0,3,15,16,4,4,0,1,1,
540,FR URBBAR,5,1,2,4,3,16,1,14,3,6,1,1,
541,FR URBBAR,5,1,2,4,4,10,16,4,3,1,4,1,
542,FR URBBAR,4,1,3,3,4,16,10,14,2,2,1,1,
543,FR URBBAR,4,1,3,3,3,16,10,14,3,4,1,1,
544,FR URBBAR,4,1,1,4,2,16,14,0,4,0,14,2,
545,FR URBBAR,5,2,1,5,3,1,14,16,1,5,6,6,
546,FR URBBAR,4,1,4,2,4,16,4,14,3,2,1,1,
547,FR URBBAR,5,1,3,3,4,16,14,4,3,6,2,1,
548,FR URBBAR,4,1,1,5,2,14,16,0,4,0,13,2,
549,FR URBBAR,4,2,1,5,4,10,16,14,4,0,14,1,
550,FR URBBAR,5,1,2,0,4,10,16,4,3,2,1,1,
551,FR URBBAR,4,1,0,0,2,10,16,10,3,0,1,1,
552,FR URBBAR,4,1,0,0,3,16,10,14,4,0,4,2,
473,GALICIA,2,3,1,5,1,8,7,0,4,0,1,1,
474,GALICIA,1,1,1,5,3,10,11,16,3,6,1,1,
475,GALICIA,1,2,0,0,1,7,0,0,2,2,1,1,
476,GALICIA,1,1,1,5,2,10,16,0,3,2,2,2,
477,GALICIA,1,1,4,2,3,10,12,16,1,4,2,1,
478,GALICIA,1,1,2,4,3,10,11,16,0,0,4,3,
479,GALICIA,1,2,3,3,3,16,11,10,1,6,1,1,
615,GEORGIA,1,1,3,2,1,16,0,0,3,1,5,4,
616,GEORGIA,1,2,3,3,1,16,0,0,2,6,3,1,
617,GEORGIA,1,2,5,3,4,16,2,11,2,2,1,1,
618,GEORGIA,1,2,1,0,3,11,15,10,2,6,1,1,
619,GEORGIA,1,2,1,5,4,10,11,5,3,1,4,2,
620,GEORGIA,1,3,1,5,4,13,12,5,1,0,1,1,
621,GEORGIA,1,2,1,5,1,8,0,0,4,0,1,1,
622,GEORGIA,2,2,1,5,3,15,8,7,4,0,1,1,
623,GEORGIA,1,2,6,3,1,15,0,0,0,1,1,1,
553,GER URBBAR,4,1,3,3,3,16,10,15,3,4,1,1,
554,GER URBBAR,5,2,1,5,2,16,14,9,4,0,4,2,
555,GER URBBAR,5,2,1,5,2,16,14,0,1,5,9,4,
556,GER URBBAR,5,2,1,5,3,1,16,14,4,0,1,1,
557,GER URBBAR,4,1,3,3,3,16,15,14,4,0,1,1,
558,GER URBBAR,5,1,1,5,3,16,1,4,3,6,5,1,
559,GER URBBAR,5,2,1,5,3,16,10,4,4,0,1,1,
560,GER URBBAR,4,2,1,5,1,1,0,0,1,5,3,2,
561,GER URBBAR,4,2,1,5,1,10,0,0,4,0,5,1,
562,GER URBBAR,4,2,1,5,2,1,16,0,1,2,4,1,
563,GER URBBAR,4,2,1,5,1,16,14,0,4,0,5,1,
564,GER URBBAR,4,2,1,5,3,1,16,14,3,6,1,1,
565,GER URBBAR,4,2,1,5,3,16,10,14,4,0,13,6,
54,GILYAK,1,4,1,5,1,2,0,0,2,2,2,2,
55,GILYAK,1,2,0,0,1,15,0,0,4,0,1,1,
56,GILYAK,1,2,6,2,1,11,0,0,0,0,1,1,
